YEAR,DATA_VALUE,CATEGORY,INDICATOR_TYPE,INDICATOR_NAME,SUBMISSION_YEAR,UNITS
1983,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1984,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1985,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1986,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1987,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1988,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1989,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1990,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1991,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1992,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1993,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1994,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1995,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1996,74,Commercial,Socioeconomic,Active_Vessels,2025,n
1997,82,Commercial,Socioeconomic,Active_Vessels,2025,n
1998,77,Commercial,Socioeconomic,Active_Vessels,2025,n
1999,65,Commercial,Socioeconomic,Active_Vessels,2025,n
2000,60,Commercial,Socioeconomic,Active_Vessels,2025,n
2001,44,Commercial,Socioeconomic,Active_Vessels,2025,n
2002,57,Commercial,Socioeconomic,Active_Vessels,2025,n
2003,56,Commercial,Socioeconomic,Active_Vessels,2025,n
2004,89,Commercial,Socioeconomic,Active_Vessels,2025,n
2005,95,Commercial,Socioeconomic,Active_Vessels,2025,n
2006,115,Commercial,Socioeconomic,Active_Vessels,2025,n
2007,105,Commercial,Socioeconomic,Active_Vessels,2025,n
2008,96,Commercial,Socioeconomic,Active_Vessels,2025,n
2009,101,Commercial,Socioeconomic,Active_Vessels,2025,n
2010,107,Commercial,Socioeconomic,Active_Vessels,2025,n
2011,91,Commercial,Socioeconomic,Active_Vessels,2025,n
2012,86,Commercial,Socioeconomic,Active_Vessels,2025,n
2013,99,Commercial,Socioeconomic,Active_Vessels,2025,n
2014,85,Commercial,Socioeconomic,Active_Vessels,2025,n
2015,86,Commercial,Socioeconomic,Active_Vessels,2025,n
2016,82,Commercial,Socioeconomic,Active_Vessels,2025,n
2017,98,Commercial,Socioeconomic,Active_Vessels,2025,n
2018,90,Commercial,Socioeconomic,Active_Vessels,2025,n
2019,67,Commercial,Socioeconomic,Active_Vessels,2025,n
2020,65,Commercial,Socioeconomic,Active_Vessels,2025,n
2021,61,Commercial,Socioeconomic,Active_Vessels,2025,n
2022,46,Commercial,Socioeconomic,Active_Vessels,2025,n
2023,50,Commercial,Socioeconomic,Active_Vessels,2025,n
2024,45,Commercial,Socioeconomic,Active_Vessels,2025,n
2025,NA,Commercial,Socioeconomic,Active_Vessels,2025,n
1983,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1984,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1985,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1986,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1987,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1988,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1989,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1990,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1991,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1992,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1993,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1994,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1995,NA,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1996,193384378,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1997,213727170,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1998,181442464,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
1999,175008372,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2000,166300410,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2001,215410225,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2002,150772959,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2003,214171061,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2004,185337027,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2005,215310879,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
2006,212128036,Commercial,Socioeconomic,Commercial_Landings,2025,lbs
